1,0,0,0,2,30,1,0.06290415674448013,0.06290415674448013,0.906924307346344,0.8174706697463989,0.8079897165298462,627.0,2189.0,140.0,149.0,2062,87.17127132415771,10_N_exp8,10_N.v1.l0.ds0.l_combo0.ds_combo1.idays30.odays1,59
1,0,0,0,2,30,7,0.07244456559419632,0.07244457304477692,0.8969948887825012,0.7501081824302673,0.7636563777923584,3467.0,15935.0,1155.0,1073.0,2056,150.09158325195312,10_N_exp8,10_N.v1.l0.ds0.l_combo0.ds_combo1.idays30.odays7,100
1,0,0,0,2,60,1,0.046076882630586624,0.046076882630586624,0.9343137145042419,0.8292349576950073,0.8887262344360352,607.0,2252.0,125.0,76.0,2032,135.57621812820435,10_N_exp8,10_N.v1.l0.ds0.l_combo0.ds_combo1.idays60.odays1,92
1,0,0,0,2,60,7,0.07982156425714493,0.07982156425714493,0.8871686458587646,0.7801405191421509,0.7762649655342102,4219.0,14691.0,1189.0,1216.0,2026,153.56802010536194,10_N_exp8,10_N.v1.l0.ds0.l_combo0.ds_combo1.idays60.odays7,100
1,0,0,0,2,30,1,0.05679440125823021,0.05679440125823021,0.918196439743042,0.7706708312034607,0.821963369846344,494.0,2357.0,147.0,107.0,2062,55.92630672454834,10_N_exp32,10_N.v1.l0.ds0.l_combo0.ds_combo1.idays30.odays1,38
1,0,0,0,2,30,7,0.062196485698223114,0.062196485698223114,0.9121590256690979,0.8230070471763611,0.7925616502761841,3985.0,15745.0,857.0,1043.0,2056,150.33665347099304,10_N_exp32,10_N.v1.l0.ds0.l_combo0.ds_combo1.idays30.odays7,100
1,0,0,0,2,60,1,0.07221446186304092,0.07221446186304092,0.8970588445663452,0.746583878993988,0.8441011309623718,601.0,2144.0,204.0,111.0,2032,79.30742073059082,10_N_exp32,10_N.v1.l0.ds0.l_combo0.ds_combo1.idays60.odays1,54
1,0,0,0,2,60,7,0.05760188028216362,0.05760188028216362,0.916115403175354,0.7716994881629944,0.7889634370803833,3174.0,16353.0,939.0,849.0,2026,149.78524494171143,10_N_exp32,10_N.v1.l0.ds0.l_combo0.ds_combo1.idays60.odays7,100
1,0,0,0,2,30,1,0.06462521851062775,0.06462521851062775,0.9078904986381531,0.7445378303527832,0.7677642703056335,443.0,2376.0,152.0,134.0,2062,60.141512632369995,10_N_exp64,10_N.v1.l0.ds0.l_combo0.ds_combo1.idays30.odays1,40
1,0,0,0,2,30,7,0.047867245972156525,0.04786724969744682,0.9308830499649048,0.8543967008590698,0.842168927192688,4178.0,15957.0,712.0,783.0,2056,150.03233289718628,10_N_exp64,10_N.v1.l0.ds0.l_combo0.ds_combo1.idays30.odays7,100
1,0,0,0,2,60,1,0.05049280449748039,0.05049280449748039,0.9248365759849548,0.7931571006774902,0.8401976823806763,510.0,2320.0,133.0,97.0,2032,46.217915773391724,10_N_exp64,10_N.v1.l0.ds0.l_combo0.ds_combo1.idays60.odays1,31
1,0,0,0,2,60,7,0.054155703634023666,0.054155707359313965,0.9256861209869385,0.8327868580818176,0.8410596251487732,4064.0,15667.0,816.0,768.0,2026,149.51710319519043,10_N_exp64,10_N.v1.l0.ds0.l_combo0.ds_combo1.idays60.odays7,100
