,dataset_name,input_size,output_size
0,2_D.v1.l1.ds1.l_combo0.ds_combo0.idays30.odays1,6,6
1,2_D.v1.l1.ds1.l_combo0.ds_combo0.idays30.odays7,6,6
2,2_D.v1.l1.ds1.l_combo0.ds_combo0.idays60.odays1,6,6
3,2_D.v1.l1.ds1.l_combo0.ds_combo0.idays60.odays7,6,6
4,2_D.v1.l1.ds1.l_combo0.ds_combo1.idays30.odays1,1,1
5,2_D.v1.l1.ds1.l_combo0.ds_combo1.idays30.odays7,1,1
6,2_D.v1.l1.ds1.l_combo0.ds_combo1.idays60.odays1,1,1
7,2_D.v1.l1.ds1.l_combo0.ds_combo1.idays60.odays7,1,1
8,2_D.v1.l1.ds1.l_combo0.ds_combo2.idays30.odays1,6,6
9,2_D.v1.l1.ds1.l_combo0.ds_combo2.idays30.odays7,6,6
10,2_D.v1.l1.ds1.l_combo0.ds_combo2.idays60.odays1,6,6
11,2_D.v1.l1.ds1.l_combo0.ds_combo2.idays60.odays7,6,6
12,2_D.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays1,2,2
13,2_D.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays7,2,2
14,2_D.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays1,2,2
15,2_D.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays7,2,2
16,2_D.v1.l1.ds1.l_combo1.ds_combo0.idays30.odays1,6,6
17,2_D.v1.l1.ds1.l_combo1.ds_combo0.idays30.odays7,6,6
18,2_D.v1.l1.ds1.l_combo1.ds_combo0.idays60.odays1,6,6
19,2_D.v1.l1.ds1.l_combo1.ds_combo0.idays60.odays7,6,6
20,2_D.v1.l1.ds1.l_combo1.ds_combo1.idays30.odays1,1,1
21,2_D.v1.l1.ds1.l_combo1.ds_combo1.idays30.odays7,1,1
22,2_D.v1.l1.ds1.l_combo1.ds_combo1.idays60.odays1,1,1
23,2_D.v1.l1.ds1.l_combo1.ds_combo1.idays60.odays7,1,1
24,2_D.v1.l1.ds1.l_combo1.ds_combo2.idays30.odays1,6,6
25,2_D.v1.l1.ds1.l_combo1.ds_combo2.idays30.odays7,6,6
26,2_D.v1.l1.ds1.l_combo1.ds_combo2.idays60.odays1,6,6
27,2_D.v1.l1.ds1.l_combo1.ds_combo2.idays60.odays7,6,6
28,2_D.v1.l1.ds1.l_combo1.ds_combo3.idays30.odays1,2,2
29,2_D.v1.l1.ds1.l_combo1.ds_combo3.idays30.odays7,2,2
30,2_D.v1.l1.ds1.l_combo1.ds_combo3.idays60.odays1,2,2
31,2_D.v1.l1.ds1.l_combo1.ds_combo3.idays60.odays7,2,2
32,2_D.v1.l1.ds1.l_combo2.ds_combo0.idays30.odays1,6,6
33,2_D.v1.l1.ds1.l_combo2.ds_combo0.idays30.odays7,6,6
34,2_D.v1.l1.ds1.l_combo2.ds_combo0.idays60.odays1,6,6
35,2_D.v1.l1.ds1.l_combo2.ds_combo0.idays60.odays7,6,6
36,2_D.v1.l1.ds1.l_combo2.ds_combo1.idays30.odays1,1,1
37,2_D.v1.l1.ds1.l_combo2.ds_combo1.idays30.odays7,1,1
38,2_D.v1.l1.ds1.l_combo2.ds_combo1.idays60.odays1,1,1
39,2_D.v1.l1.ds1.l_combo2.ds_combo1.idays60.odays7,1,1
40,2_D.v1.l1.ds1.l_combo2.ds_combo2.idays30.odays1,6,6
41,2_D.v1.l1.ds1.l_combo2.ds_combo2.idays30.odays7,6,6
42,2_D.v1.l1.ds1.l_combo2.ds_combo2.idays60.odays1,6,6
43,2_D.v1.l1.ds1.l_combo2.ds_combo2.idays60.odays7,6,6
44,2_D.v1.l1.ds1.l_combo2.ds_combo3.idays30.odays1,2,2
45,2_D.v1.l1.ds1.l_combo2.ds_combo3.idays30.odays7,2,2
46,2_D.v1.l1.ds1.l_combo2.ds_combo3.idays60.odays1,2,2
47,2_D.v1.l1.ds1.l_combo2.ds_combo3.idays60.odays7,2,2
48,2_D.v1.l1.ds1.l_combo3.ds_combo0.idays30.odays1,6,6
49,2_D.v1.l1.ds1.l_combo3.ds_combo0.idays30.odays7,6,6
50,2_D.v1.l1.ds1.l_combo3.ds_combo0.idays60.odays1,6,6
51,2_D.v1.l1.ds1.l_combo3.ds_combo0.idays60.odays7,6,6
52,2_D.v1.l1.ds1.l_combo3.ds_combo1.idays30.odays1,1,1
53,2_D.v1.l1.ds1.l_combo3.ds_combo1.idays30.odays7,1,1
54,2_D.v1.l1.ds1.l_combo3.ds_combo1.idays60.odays1,1,1
55,2_D.v1.l1.ds1.l_combo3.ds_combo1.idays60.odays7,1,1
56,2_D.v1.l1.ds1.l_combo3.ds_combo2.idays30.odays1,6,6
57,2_D.v1.l1.ds1.l_combo3.ds_combo2.idays30.odays7,6,6
58,2_D.v1.l1.ds1.l_combo3.ds_combo2.idays60.odays1,6,6
59,2_D.v1.l1.ds1.l_combo3.ds_combo2.idays60.odays7,6,6
