,letter,stdev base 8,stdev base 32,stdev base 64
0,C,0.01426235903990811,0.014390808618876283,0.01436284787010572
1,F,0.014292642408890626,0.014277118957734317,0.014277892095150515
2,Q,0.014556862596474205,0.014358420694757457,0.014866833001774127
3,AA,0.014654018349381959,0.014926766280249568,0.014649666746032413
4,B,0.004649781742561058,0.004648784431814219,0.0046304079390515175
5,J,0.004865141072752887,0.004854795795908269,0.004884155763254998
6,M,0.004733585747618195,0.004714097502619765,0.004672727334752954
7,V,0.004910875830495433,0.004951471621944596,0.004880858223461222
8,A,0.0019033748589499793,0.0021388892075337217,0.002294592039962365
9,G,0.0020119645402123885,0.0020362936855063047,0.0021027563548543476
10,N,0.0019488230943029163,0.0019063446786722516,0.002035392961215558
11,T,0.0024345246438515684,0.002066396407392748,0.0020669625085830818
12,W,0.001558694806818647,0.0017107607933026414,0.0021113173534251244
13,Y,0.0017850173964702447,0.00214019647489268,0.002207253272787776
14,AB,0.0019940699349510526,0.002035519367767199,0.0017836345936001064
15,AD,0.0019983146002163408,0.001957124305350232,0.0021296019499145715
